"specimen","IMAGE","SCALE","LM01_x","LM02_x","LM03_x","LM04_x","LM05_x","LM06_x","LM07_x","LM08_x","LM09_x","LM10_x","LM11_x","LM12_x","LM13_x","LM14_x","LM15_x","LM16_x","LM17_x","LM18_x","LM19_x","LM20_x","LM21_x","LM01_y","LM02_y","LM03_y","LM04_y","LM05_y","LM06_y","LM07_y","LM08_y","LM09_y","LM10_y","LM11_y","LM12_y","LM13_y","LM14_y","LM15_y","LM16_y","LM17_y","LM18_y","LM19_y","LM20_y","LM21_y"
"Pan","Pan_51381_Talus_DorsalView_L.png",0.005025,600,838,762,769,599,440,402,402,597,883,956,374,209,290,817,936,1005,647,656,443,552,838,859,622,338,299,367,648,896,581,853,781,845,666,667,1075,1043,788,1009,218,180,853
"Pan","Pan_51394_Talus_DorsalView_L.png",0.006097,512,746,667,665,500,336,310,335,505,802,852,293,78,194,713,803,902,476,667,403,469,775,839,584,311,324,355,622,876,547,859,804,838,754,744,1117,1094,819,1003,275,247,831
"Pan","Pan_89351_Talus_DorsalView_L.png",0.004184,606,816,733,740,601,427,376,350,609,938,986,313,132,243,831,947,1066,623,748,488,513,810,895,603,320,281,316,605,891,546,886,773,862,666,668,1150,1126,839,1068,231,175,854
"Pan","Pan_89352_Talus_DorsalView_R.png",0.004367,566,337,420,395,570,734,800,822,570,265,222,848,1010,901,350,286,136,571,417,708,673,699,786,527,245,239,308,551,789,459,790,758,771,608,602,1079,1070,827,975,184,118,776
"Pan","Pan_89353_Talus_Dorsal_L.png",0.005181,610,821,734,725,608,463,431,416,609,867,909,359,196,284,812,868,1019,593,726,496,546,810,843,584,295,311,380,631,874,569,816,715,846,674,674,1110,1101,884,1018,244,215,850
"Pan","Pan_89355_Talus_Dorsal_L.png",0.00483,582,823,752,780,586,442,378,367,585,883,909,324,140,249,782,855,1005,543,773,532,463,653,758,492,235,220,226,470,741,449,754,688,709,503,501,1049,1037,817,944,167,84,721
"Pan","Pan_89406_Talus_Dorsal_L.png",0.004673,498,783,643,534,495,276,290,337,486,816,839,294,88,186,828,910,998,635,542,297,487,690,668,465,215,198,292,557,819,468,650,562,806,678,651,970,939,667,929,150,154,748
"Pan","Pan_89407_Talus_Dorsal_R.png",0.005236,545,311,382,393,543,692,736,763,549,248,231,781,939,833,338,271,130,518,360,596,611,550,612,406,165,161,159,405,642,362,609,565,616,473,471,921,912,707,860,119,79,649
"Pan","Pan_89534_Talus_Dorsal_R.png",0.005236,545,311,382,393,543,692,736,763,549,248,231,781,939,833,338,271,130,518,360,596,611,550,612,406,165,161,159,405,642,362,609,565,616,473,471,921,912,707,860,119,79,649
"Pan","Pan_90190_Talus_Dorsal_L.png",0.005263,481,747,673,675,477,354,298,289,476,820,880,261,107,192,714,793,908,492,632,420,432,620,663,437,160,127,169,393,650,377,663,583,617,487,483,915,896,589,810,107,93,634
